spotify_id,popularity,danceability,energy,acousticness,instrumentalness,liveness,speechiness,tempo,valence,mode,key,album_release_date,release_year,release_month,release_day,release_recency,first_snapshot_date,last_snapshot_date,days_on_spotify,popularity_class
000n6Lx4yqUAslF1x3JeFY,63,0.676,0.728,0.395,0.0,0.0587,0.0965,174.089,0.938,0.0,9.0,2023-08-24,2023,8,24,454,2023-10-18,2023-11-20,33,1
001TLpmtuQMWJYyE7q9ayM,33,0.823,0.567,0.123,0.000272,0.113,0.216,136.006,0.545,1.0,2.0,2023-11-02,2023,11,2,384,2023-11-05,2023-11-05,0,0
003vvx7Niy0yvhvHt4a68B,90,0.352,0.911,0.00121,0.0,0.0995,0.0747,148.033,0.23599999999999996,1.0,1.0,2004-01-01,2004,1,1,7629,2023-10-18,2024-10-29,377,2
005L1nFVHdbcd7gvtK7zrh,48,0.854,0.453,0.314,6.42e-06,0.104,0.136,137.93,0.0818,0.0,1.0,2024-09-13,2024,9,13,68,2024-09-14,2024-09-18,4,1
005cocyIL36CVjjtUEdVSq,58,0.786,0.43600000000000005,0.411,0.0,0.107,0.0433,120.10000000000001,0.734,1.0,10.0,1996-01-01,1996,1,1,10551,2024-05-05,2024-08-01,88,1
006oGnrSZevqZTimsD2oh4,77,0.616,0.8820000000000001,0.329,1.76e-06,0.191,0.0894,134.046,0.639,1.0,5.0,2023-06-16,2023,6,16,523,2023-10-18,2023-11-25,38,2
00BjWhfYjpmRqKd1qCzdM0,53,0.83,0.727,0.33,0.0,0.0825,0.134,99.99399999999999,0.536,1.0,9.0,2024-10-23,2024,10,23,28,2024-10-26,2024-10-31,5,1
00E0Z2jrF7reoHps4zcbWQ,81,0.675,0.986,0.0868,4.96e-06,0.128,0.0974,126.004,0.57,0.0,9.0,2023-06-30,2023,6,30,509,2023-10-25,2023-10-28,3,2
00EI0kIF3M2K4wrxJmsXWF,58,0.482,0.618,0.425,0.000102,0.06189999999999999,0.0586,173.666,0.17,1.0,0.0,2024-09-13,2024,9,13,68,2024-09-14,2024-10-19,35,1
00EWeXw1RLUwCMw8pxtXAE,65,0.543,0.587,0.786,0.0,0.626,0.497,174.075,0.723,0.0,10.0,2024-10-17,2024,10,17,34,2024-10-27,2024-10-31,4,1
00FgA8qDMtKrAokzmRrsPH,34,0.736,0.668,0.271,0.000346,0.189,0.152,167.985,0.481,0.0,10.0,2024-02-16,2024,2,16,278,2024-02-18,2024-02-18,0,0
00GZFsd16gSMedK2jHATQ4,64,0.536,0.832,0.257,1.55e-05,0.105,0.105,117.991,0.676,0.0,1.0,2023-12-15,2023,12,15,341,2023-12-17,2023-12-22,5,1
00Imdq7NDBO3zbbREGgUOM,56,0.819,0.721,0.341,0.00644,0.0809,0.323,137.924,0.584,0.0,4.0,2024-10-18,2024,10,18,33,2024-10-20,2024-10-31,11,1
00Nh5jZl5ilpe6aCrhvZTb,55,0.435,0.635,0.408,0.0,0.453,0.0378,169.704,0.39,1.0,0.0,2024-04-25,2024,4,25,209,2024-06-23,2024-06-23,0,1
00PdQeNpWlEzqrMN3eauPl,65,0.767,0.442,0.708,0.245,0.114,0.0379,130.067,0.336,1.0,5.0,2024-05-23,2024,5,23,181,2024-06-16,2024-10-26,132,1
